Diameter (km), Depth (km)
12.124077, 1.069409
7.562777, 0.750643
12.620384, 1.861183
6.641064, 0.956298
5.081241, 0.791774
15.385524, 2.838046
14.085672, 2.138817
6.664697, 0.771208
5.648449, 0.812339
4.655835, 0.421594
4.490399, 0.719794
6.475628, 1.028278
5.483013, 0.730077
6.522895, 1.038560
5.813885, 0.925450
5.648449, 0.524422
6.877400, 1.100257
4.703102, 0.771208
15.716396, 0.863753
4.797637, 0.503856
6.664697, 0.719794
4.868538, 0.760925
4.419498, 0.524422
14.983752, 3.023136
4.561300, 0.616967
9.028065, 0.514139
5.861152, 0.935733
5.175775, 0.730077
6.830133, 1.161954
4.750369, 0.616967
7.799114, 1.491003
13.471196, 0.853470
5.341211, 0.771208
13.896603, 1.933162
9.382570, 1.634961
8.626292, 1.305913
16.378139, 2.025707
11.391433, 2.190231
5.624815, 0.616967
5.152142, 0.575835
7.090103, 1.182519
12.242245, 0.802057
8.602659, 1.295630
5.435746, 0.822622
4.703102, 0.853470
6.924668, 1.038560
7.751846, 1.079692
10.895126, 1.501285
8.177253, 1.470437
4.348597, 0.565553
9.713442, 0.411311
6.901034, 1.048843
5.553914, 0.935733
8.342688, 0.514139
5.624815, 0.442159
4.797637, 0.616967
6.002954, 0.380463
10.564254, 1.316195
4.726736, 0.688946
5.412112, 0.575835
7.397341, 0.925450
6.121123, 1.244216
7.184638, 0.863753
10.280650, 1.388175
9.146233, 1.470437
5.908419, 0.966581
9.335303, 0.843188
8.957164, 0.956298
9.878877, 1.634961
7.633678, 1.275064
8.248154, 1.408740
5.010340, 0.760925
10.611521, 1.809769
5.412112, 0.524422
12.714919, 1.521851
4.490399, 0.442159
7.680945, 0.863753
9.973412, 1.295630
7.397341, 1.264781
7.751846, 1.264781
11.391433, 2.200514
7.042836, 1.172237
5.364845, 0.699229
5.813885, 0.390746
5.246677, 0.946015
7.350074, 1.213368
7.184638, 1.244216
9.240768, 1.501285
6.546529, 1.007712
9.122600, 1.285347
12.644018, 0.925450
9.429838, 1.840617
6.002954, 0.966581
5.553914, 0.760925
10.989660, 1.305913
7.019202, 1.182519
10.658789, 2.282776
5.459380, 0.853470
8.129985, 1.449871
4.135894, 0.462725
7.184638, 0.997429
7.350074, 1.213368
7.988183, 1.511568
7.775480, 0.976864
7.680945, 0.627249
11.958641, 2.169666
6.664697, 0.966581
15.645495, 1.768638
8.460857, 1.141388
13.376662, 1.902314
5.695716, 0.956298
9.358936, 0.956298
10.446086, 1.017995
6.901034, 1.059126
7.917282, 1.131105
6.971935, 0.730077
8.413589, 0.863753
6.333826, 0.894602
14.487445, 1.017995
11.958641, 2.128535
12.242245, 2.200514
4.561300, 0.802057
5.081241, 0.555270
7.988183, 1.511568
14.747415, 2.334190
13.353028, 1.737789
13.778434, 1.511568
12.691285, 0.874036
6.451994, 1.007712
7.184638, 1.295630
13.376662, 1.419023
13.305761, 2.097686
6.995569, 0.329049
8.319055, 1.408740
14.983752, 3.023136
7.586411, 1.326478
10.658789, 1.706941
7.161004, 1.089974
15.031019, 1.388175
5.175775, 0.730077
11.178730, 1.244216
12.927622, 0.946015
4.466765, 0.596401
10.942393, 1.748072
13.825702, 2.478149
14.889217, 2.683805
5.128508, 0.586118
15.149188, 2.293059
7.988183, 0.606684
6.026588, 0.915167
7.539143, 0.935733
14.203840, 2.879177
5.553914, 0.853470
10.800591, 1.686375
6.546529, 0.853470
4.844904, 0.596401
13.920236, 1.398458
6.002954, 0.966581
10.776957, 0.935733
4.206795, 0.524422
7.562777, 1.017995
5.553914, 0.822622
6.428360, 1.007712
7.586411, 1.316195
7.704579, 1.203085
10.257016, 0.822622
6.168390, 1.182519
6.759232, 1.089974
7.657312, 1.110540
7.326440, 0.565553
7.633678, 1.223650
5.530281, 0.565553
7.184638, 1.182519
8.437223, 0.863753
7.893648, 0.627249
8.224520, 1.408740
5.742984, 0.688946
7.680945, 0.411311
6.428360, 1.028278
7.208272, 1.182519
5.695716, 0.771208
8.319055, 1.172237
6.333826, 0.946015
15.952733, 2.221080
4.443131, 0.647815
4.443131, 0.812339
5.293944, 0.935733
5.908419, 0.606684
11.698671, 1.192802
7.799114, 1.244216
15.881832, 2.077121
10.871492, 2.035990
5.813885, 0.915167
4.301329, 0.565553
5.955687, 1.254499
15.645495, 3.023136
5.317578, 0.514139
5.128508, 0.257069
4.206795, 0.236504
7.728213, 0.987147
4.726736, 0.812339
14.322009, 2.591260
7.822747, 0.925450
15.527326, 3.033419
7.491876, 0.740360
8.602659, 1.367609
5.672083, 0.802057
4.679468, 0.596401
4.986706, 0.318766
4.868538, 0.606684
7.680945, 1.336761
5.175775, 0.658098
8.838996, 1.254499
7.988183, 0.884319
6.428360, 0.627249
5.010340, 0.503856
7.255539, 1.285347
5.624815, 0.904884
7.397341, 1.141388
6.641064, 1.048843
12.856721, 2.447301
12.478582, 1.861183
9.878877, 1.624679
4.868538, 0.524422
9.311669, 1.233933
7.161004, 1.233933
4.750369, 0.627249
8.933530, 1.089974
15.527326, 2.704370
5.601182, 0.442159
4.183161, 0.565553
4.041359, 0.524422
6.381093, 0.658098
4.608567, 0.637532
7.161004, 1.233933
9.477105, 0.421594
5.624815, 0.442159
4.939439, 0.843188
5.601182, 0.442159
7.893648, 1.419023
6.310192, 0.760925
4.915805, 0.606684
4.395864, 0.575835
7.515510, 0.956298
11.627770, 2.334190
5.648449, 1.038560
7.468242, 0.760925
5.955687, 0.514139
12.053176, 2.015424
5.293944, 1.604113
6.546529, 0.781491
5.412112, 0.215938
9.098966, 1.634961
10.800591, 1.367609
11.627770, 1.902314
12.596750, 2.272494
7.208272, 1.192802
14.227474, 2.868895
7.680945, 1.326478
7.420975, 0.843188
13.589365, 2.046272
5.672083, 0.503856
8.059084, 1.120823
5.648449, 0.771208
10.895126, 1.501285
7.799114, 0.925450
5.506647, 0.637532
5.837518, 0.401028
4.868538, 0.760925
5.648449, 0.503856
11.745938, 1.398458
14.203840, 2.879177
4.372230, 0.637532
6.806499, 0.616967
8.957164, 0.730077
6.215657, 0.205656
4.703102, 0.627249
5.506647, 0.473008
10.044313, 1.789203
4.490399, 0.442159
7.397341, 0.781491
9.004431, 0.925450
4.230428, 0.616967
7.751846, 1.244216
14.038405, 1.789203
9.831610, 1.799486
12.833087, 2.652956
5.553914, 0.843188
7.870015, 1.131105
6.617430, 0.997429
13.849335, 2.097686
11.604136, 0.534704
6.759232, 1.141388
5.152142, 0.678663
13.920236, 1.398458
4.490399, 0.586118
6.050222, 0.565553
5.719350, 0.832905
4.655835, 0.812339
9.075332, 1.624679
5.010340, 0.493573
8.200886, 1.429306
8.153619, 1.295630
4.655835, 0.637532
9.311669, 1.727506
13.282127, 2.467866
12.525849, 2.293059
7.279173, 1.120823
5.601182, 0.760925
4.395864, 0.534704
7.302806, 0.791774
15.905465, 1.655527
4.915805, 0.524422
5.884786, 0.884319
7.208272, 1.192802
5.742984, 0.894602
16.283604, 1.192802
14.322009, 2.066838
4.655835, 0.802057
10.280650, 0.730077
5.601182, 0.791774
6.121123, 0.884319
5.601182, 0.359897
7.940916, 1.244216
7.397341, 1.141388
8.035451, 0.616967
9.051699, 0.976864
15.740030, 2.858612
10.067947, 1.131105
5.081241, 0.719794
7.657312, 0.627249
6.522895, 0.997429
14.369276, 2.868895
7.893648, 1.151671
5.104874, 0.514139
10.635155, 1.717224
7.515510, 0.966581
8.768095, 0.524422
15.740030, 2.838046
10.611521, 2.344473
6.286558, 0.956298
7.680945, 0.997429
5.813885, 1.131105
14.132939, 1.275064
9.311669, 1.614396
6.002954, 1.069409
5.412112, 0.534704
14.747415, 2.344473
10.587888, 2.354756
4.183161, 0.565553
5.010340, 0.318766
5.317578, 0.894602
6.688331, 1.028278
5.577548, 0.791774
10.966027, 0.606684
10.635155, 1.686375
4.844904, 0.658098
7.208272, 0.390746
5.624815, 0.462725
11.320532, 1.244216
5.624815, 0.822622
8.366322, 0.524422
5.884786, 0.709512
7.586411, 1.007712
5.861152, 0.822622
15.527326, 3.033419
7.610044, 0.791774
5.104874, 0.503856
5.577548, 0.390746
5.435746, 0.822622
9.949778, 1.408740
7.940916, 1.398458
6.995569, 0.329049
5.719350, 0.524422
4.726736, 0.760925
10.824225, 1.254499
9.240768, 1.501285
10.493353, 1.809769
8.437223, 1.141388
10.067947, 1.573265
7.326440, 0.853470
6.333826, 0.627249
11.296898, 2.005141
5.270310, 0.740360
6.711965, 1.161954
5.624815, 0.555270
10.020679, 1.778920
5.459380, 0.832905
6.830133, 0.832905
4.868538, 0.750643
4.135894, 0.483290
4.537666, 0.627249
6.641064, 0.904884
14.298375, 2.077121
9.264402, 1.562982
5.553914, 0.750643
11.036928, 2.159383
14.132939, 1.275064
6.168390, 1.059126
10.564254, 1.583548
6.404727, 0.935733
5.979321, 0.863753
11.580502, 1.912596
7.113737, 0.565553
4.183161, 0.544987
9.949778, 1.408740
6.522895, 1.151671
4.750369, 0.730077
9.098966, 1.562982
5.601182, 1.028278
5.530281, 0.863753
9.760709, 1.758355
5.648449, 0.411311
4.041359, 0.473008
5.412112, 0.760925
8.366322, 1.501285
7.988183, 0.668380
4.277696, 0.596401
4.395864, 0.616967
4.183161, 0.390746
5.223043, 0.750643
7.326440, 0.925450
5.435746, 0.616967
15.621861, 2.457584
5.932053, 0.925450
8.342688, 1.511568
15.527326, 3.033419
5.506647, 0.627249
15.952733, 2.231362
11.722304, 1.408740
5.341211, 0.771208
4.892171, 0.534704
4.963072, 0.637532
6.971935, 1.192802
11.036928, 2.169666
6.971935, 0.966581
6.168390, 1.048843
6.451994, 1.048843
7.775480, 1.275064
8.673560, 1.192802
7.680945, 1.007712
7.539143, 1.048843
8.768095, 1.439589
5.223043, 0.740360
5.742984, 0.843188
4.183161, 0.596401
4.797637, 0.658098
7.680945, 0.874036
8.862629, 1.604113
5.979321, 0.925450
6.759232, 1.151671
4.395864, 0.658098
15.125554, 1.634961
4.159527, 0.493573
12.454948, 0.956298
6.428360, 0.802057
4.939439, 0.894602
8.106352, 0.678663
8.295421, 1.161954
4.537666, 0.719794
7.610044, 0.606684
4.490399, 0.575835
4.206795, 0.503856
4.679468, 0.843188
6.357459, 0.904884
8.957164, 1.182519
5.033973, 0.730077
5.648449, 0.668380
14.203840, 2.879177
5.790251, 1.079692
11.273264, 1.634961
10.847858, 1.244216
4.419498, 0.596401
8.224520, 0.997429
5.837518, 0.915167
4.655835, 0.802057
7.444609, 1.419023
6.830133, 0.606684
7.066470, 1.089974
7.042836, 1.089974
8.059084, 0.544987
4.017725, 0.442159
10.304284, 1.388175
4.324963, 0.627249
5.223043, 0.565553
8.815362, 1.604113
14.180207, 2.272494
13.329394, 1.017995
6.333826, 0.688946
10.540620, 1.079692
8.082718, 1.408740
8.295421, 1.398458
14.227474, 1.264781
8.602659, 1.233933
7.657312, 0.606684
5.081241, 0.802057
11.178730, 1.768638
15.527326, 2.591260
4.986706, 0.318766
12.242245, 1.717224
7.633678, 1.161954
7.610044, 0.750643
4.419498, 0.411311
6.924668, 0.966581
8.579025, 1.110540
9.902511, 1.634961
8.011817, 0.658098
11.415066, 1.089974
4.277696, 0.658098
10.351551, 1.748072
13.353028, 2.375321
8.697194, 1.388175
13.896603, 0.904884
12.242245, 1.501285
5.908419, 0.884319
12.384047, 2.467866
6.522895, 1.038560
14.274742, 1.552699
5.955687, 1.264781
5.293944, 0.946015
7.846381, 1.326478
4.230428, 0.555270
4.230428, 0.226221
12.502216, 0.370180
7.444609, 1.419023
10.753323, 1.079692
8.295421, 0.760925
7.586411, 1.007712
4.703102, 0.791774
12.738552, 2.035990
16.378139, 2.580977
10.800591, 1.357326
6.711965, 0.987147
14.463811, 2.005141
4.017725, 0.503856
4.915805, 0.606684
9.406204, 1.850900
7.846381, 0.709512
7.586411, 1.254499
8.980798, 0.740360
7.444609, 1.491003
9.288035, 0.946015
4.277696, 0.565553
11.107829, 1.604113
5.506647, 0.822622
8.177253, 1.285347
5.010340, 0.658098
9.571640, 1.316195
5.388479, 0.524422
12.407681, 2.046272
6.711965, 0.791774
8.673560, 1.305913
10.469719, 1.902314
8.720827, 1.655527
12.384047, 2.190231
8.295421, 1.408740
7.255539, 1.120823
9.264402, 1.562982
11.793205, 1.902314
7.042836, 1.079692
12.951256, 1.449871
12.194978, 1.295630
4.159527, 0.452442
7.633678, 0.616967
5.057607, 0.575835
14.440177, 2.951157
9.453471, 1.634961
5.624815, 0.802057
13.660266, 2.241645
4.915805, 0.668380
6.192024, 0.997429
7.680945, 0.688946
4.348597, 0.627249
7.397341, 1.244216
9.311669, 0.586118
7.846381, 0.730077
4.561300, 0.647815
5.695716, 0.781491
7.491876, 0.750643
6.050222, 0.863753
6.451994, 1.017995
5.719350, 0.904884
14.912851, 1.655527
4.017725, 0.514139
5.577548, 0.473008
4.844904, 0.668380
13.565731, 1.778920
4.206795, 0.627249
4.490399, 0.627249
13.589365, 1.778920
4.915805, 0.812339
15.031019, 1.388175
8.673560, 1.192802
12.667651, 0.863753
7.988183, 0.606684
7.302806, 0.791774
13.518464, 0.915167
7.657312, 1.192802
13.305761, 2.365039
13.494830, 2.210797
12.644018, 0.935733
15.054653, 2.827763
4.088626, 0.637532
5.223043, 0.586118
9.997046, 0.678663
4.774003, 0.668380
8.602659, 0.616967
4.419498, 0.390746
4.041359, 0.308483
6.144756, 0.966581
4.419498, 0.791774
6.286558, 0.904884
4.088626, 0.555270
8.531758, 1.172237
8.886263, 1.203085
7.042836, 1.079692
13.731167, 2.221080
5.601182, 0.606684
15.101920, 1.634961
11.273264, 1.634961
6.002954, 1.069409
7.988183, 0.874036
5.128508, 0.380463
5.648449, 0.812339
4.844904, 0.730077
7.633678, 1.347044
7.066470, 0.791774
4.821270, 0.596401
4.844904, 0.267352
9.406204, 1.706941
4.277696, 0.514139
7.893648, 1.028278
16.378139, 2.025707
7.042836, 1.233933
6.168390, 0.997429
11.745938, 1.398458
6.475628, 0.987147
11.084195, 2.293059
13.565731, 2.056555
7.113737, 0.555270
5.884786, 0.802057
5.388479, 0.730077
7.680945, 0.637532
6.404727, 0.760925
4.301329, 0.740360
5.861152, 0.802057
5.695716, 0.822622
9.311669, 0.966581
7.397341, 0.976864
6.192024, 1.182519
5.553914, 0.760925
7.657312, 1.203085
7.680945, 1.213368
7.775480, 1.254499
8.673560, 0.678663
4.395864, 3.393316
14.203840, 1.737789
8.744461, 1.449871
6.144756, 0.966581
9.926145, 0.575835
15.361891, 1.881748
4.466765, 0.534704
5.601182, 0.370180
7.397341, 0.791774
5.483013, 0.462725
7.090103, 0.555270
4.703102, 0.791774
4.726736, 0.812339
13.920236, 0.802057
7.562777, 1.429306
6.073855, 0.534704
5.790251, 1.079692
6.262925, 0.483290
6.168390, 0.956298
10.469719, 1.902314
5.506647, 0.565553
4.584934, 0.534704
4.135894, 0.637532
5.624815, 0.349614
16.070901, 2.611825
11.722304, 1.419023
5.293944, 1.593830
9.264402, 1.552699
7.562777, 1.028278
5.317578, 0.503856
10.824225, 0.606684
5.293944, 0.822622
7.586411, 0.760925
10.044313, 1.089974
12.596750, 2.282776
9.051699, 0.976864
9.288035, 0.966581
7.751846, 1.244216
7.728213, 1.326478
7.988183, 0.874036
8.248154, 0.987147
7.420975, 0.503856
5.364845, 0.524422
8.649926, 0.688946
9.122600, 1.552699
7.491876, 0.740360
5.175775, 0.750643
11.698671, 1.727506
5.979321, 0.935733
13.518464, 2.550129
11.155096, 1.953728
12.076809, 2.025707
6.570162, 1.100257
7.491876, 0.401028
12.005908, 2.467866
11.296898, 1.634961
13.660266, 2.241645
4.159527, 0.483290
7.184638, 1.295630
9.618907, 0.370180
4.443131, 0.555270
6.664697, 0.730077
4.537666, 0.524422
15.101920, 3.228792
4.537666, 0.812339
9.949778, 1.388175
6.097489, 0.853470
11.556869, 1.326478
4.986706, 0.750643
4.372230, 0.503856
12.738552, 1.511568
7.633678, 0.771208
4.939439, 0.349614
5.057607, 0.575835
7.586411, 1.377892
5.364845, 0.740360
5.128508, 0.586118
4.088626, 0.658098
6.002954, 0.935733
7.633678, 1.192802
9.382570, 0.565553
4.230428, 0.473008
6.735598, 1.100257
4.774003, 0.616967
4.466765, 0.586118
4.963072, 0.750643
5.435746, 0.215938
5.530281, 0.565553
7.515510, 0.750643
14.463811, 2.951157
9.288035, 1.244216
12.218612, 1.778920
4.230428, 0.750643
5.861152, 0.822622
5.861152, 0.822622
5.813885, 1.141388
9.500739, 0.431877
6.830133, 0.616967
12.502216, 0.359897
12.242245, 1.912596
5.979321, 0.503856
10.824225, 0.596401
5.837518, 0.401028
10.753323, 1.295630
12.407681, 2.035990
5.246677, 0.575835
4.821270, 0.473008
7.468242, 0.390746
14.274742, 1.079692
7.161004, 1.305913
10.824225, 1.881748
5.813885, 0.987147
7.610044, 0.606684
12.714919, 2.035990
6.404727, 0.822622
9.760709, 1.727506
10.776957, 1.079692
10.895126, 2.035990
4.892171, 0.493573
8.531758, 1.161954
5.624815, 0.647815
8.579025, 0.616967
7.964549, 1.254499
14.960118, 2.683805
15.810931, 1.994859
4.750369, 0.719794
15.125554, 3.228792
15.503693, 2.704370
5.223043, 0.596401
6.546529, 1.028278
6.475628, 0.976864
7.468242, 0.740360
7.350074, 0.987147
10.635155, 0.329049
11.627770, 1.902314
5.317578, 0.524422
4.419498, 0.658098
10.800591, 1.871465
11.438700, 2.179949
11.651403, 1.902314
7.042836, 1.079692
4.206795, 0.524422
10.706056, 0.575835
6.971935, 0.730077
10.209749, 1.223650
5.601182, 0.771208
6.641064, 0.843188
5.648449, 0.771208
4.277696, 0.606684
5.364845, 0.832905
11.627770, 2.467866
5.979321, 0.946015
9.382570, 1.408740
4.868538, 0.514139
5.293944, 1.593830
4.041359, 0.421594
10.776957, 0.935733
4.348597, 0.565553
6.664697, 0.771208
6.924668, 1.254499
6.570162, 1.048843
7.420975, 0.503856
6.262925, 0.740360
7.799114, 1.295630
5.742984, 0.493573
7.420975, 0.503856
4.915805, 0.832905
10.422452, 0.812339
7.208272, 0.390746
5.837518, 0.647815
6.901034, 1.038560
8.437223, 0.874036
15.196455, 2.077121
4.206795, 0.524422
9.477105, 1.203085
11.273264, 1.419023
15.763663, 2.858612
6.664697, 0.719794
12.478582, 1.861183
11.698671, 1.717224
11.013294, 2.169666
8.980798, 0.946015
6.002954, 0.575835
4.041359, 0.565553
8.011817, 0.668380
8.673560, 0.627249
5.624815, 0.473008
8.508124, 1.758355
5.908419, 0.915167
7.231905, 0.956298
9.973412, 1.388175
9.926145, 1.542416
10.753323, 1.079692
4.868538, 0.606684
7.917282, 1.388175
5.861152, 0.740360
7.846381, 1.532134
7.940916, 1.151671
14.416544, 2.601542
4.041359, 0.483290
10.351551, 1.871465
8.791728, 1.449871
4.655835, 0.637532
4.159527, 0.473008
6.806499, 1.141388
4.348597, 0.616967
4.632201, 0.544987
7.610044, 1.264781
12.407681, 2.035990
7.917282, 1.089974
6.310192, 0.760925
9.193501, 1.419023
15.480059, 1.069409
5.128508, 0.863753
7.539143, 1.028278
9.288035, 0.946015
7.302806, 0.616967
5.506647, 0.894602
6.026588, 0.678663
5.057607, 0.822622
4.561300, 0.586118
7.799114, 1.275064
6.877400, 1.100257
4.915805, 0.524422
4.372230, 0.534704
10.044313, 1.562982
5.719350, 0.946015
4.868538, 0.627249
8.957164, 1.994859
14.960118, 2.673522
6.144756, 0.976864
14.085672, 2.138817
4.537666, 0.524422
7.302806, 0.555270
15.338257, 1.871465
6.711965, 0.894602
4.939439, 0.503856
15.031019, 1.377892
12.644018, 0.935733
4.963072, 0.760925
8.579025, 1.388175
4.230428, 0.565553
10.989660, 1.305913
4.419498, 0.606684
7.704579, 0.874036
12.407681, 2.046272
4.986706, 0.318766
5.388479, 0.730077
4.915805, 0.616967
13.731167, 1.706941
7.799114, 0.658098
15.645495, 1.758355
10.871492, 0.411311
5.104874, 0.709512
9.524372, 1.593830
13.825702, 1.244216
12.005908, 1.192802
5.955687, 0.935733
4.017725, 0.462725
8.035451, 0.586118
4.206795, 0.740360
7.704579, 1.203085
10.044313, 1.778920
4.915805, 0.750643
7.326440, 0.843188
4.561300, 0.616967
5.223043, 0.565553
4.608567, 0.647815
9.311669, 0.843188
10.257016, 0.832905
14.203840, 1.737789
13.093058, 1.820051
5.104874, 0.843188
6.451994, 1.028278
7.610044, 1.264781
4.159527, 0.586118
8.957164, 1.233933
5.624815, 0.555270
14.392910, 2.406170
6.522895, 0.791774
4.986706, 0.658098
4.986706, 0.329049
4.230428, 0.215938
4.632201, 0.802057
13.494830, 2.210797
5.979321, 1.017995
4.395864, 0.606684
4.419498, 0.791774
9.098966, 0.370180
7.633678, 1.264781
6.381093, 1.048843
13.896603, 2.395887
4.372230, 0.668380
4.537666, 0.596401
10.776957, 1.203085
4.017725, 0.534704
5.624815, 0.401028
4.206795, 0.750643
4.986706, 0.616967
